Endings,Hash Function,Noise Removal,Ellapsed Time,Join Type,Add/Sub,Q_Error,Count
"['artist', 'nationality']",UniversalHashFunction,amin,1472673927,object subject,False,135.5601851851852,29497
"['artist', 'nationality']",UniversalHashFunction,amin,1445848629,object subject,False,128.1435185185185,27895
"['artist', 'nationality']",UniversalHashFunction,amin,1436099936,object subject,False,140.66666666666666,30600
"['artist', 'nationality']",UniversalHashFunction,amin,1516556485,object subject,False,128.24537037037038,27917
"['artist', 'nationality']",UniversalHashFunction,amin,1506508161,object subject,False,130.28240740740742,28357
"['artist', 'nationality']",UniversalHashFunction,median,1512974156,object subject,False,127.39351851851852,27733
"['artist', 'nationality']",UniversalHashFunction,median,1490586611,object subject,False,144.875,31509
"['artist', 'nationality']",UniversalHashFunction,median,1458228537,object subject,False,126.75925925925925,27596
"['artist', 'nationality']",UniversalHashFunction,median,1444939715,object subject,False,136.27777777777777,29652
"['artist', 'nationality']",UniversalHashFunction,median,1440866977,object subject,False,151.91666666666666,33030
"['artist', 'nationality']",UniversalHashFunction,No,1445516897,object subject,False,129.28240740740742,28141
"['artist', 'nationality']",UniversalHashFunction,No,1468530016,object subject,False,130.97222222222223,28506
"['artist', 'nationality']",UniversalHashFunction,No,1435494380,object subject,False,126.87037037037037,27620
"['artist', 'nationality']",UniversalHashFunction,No,1439777042,object subject,False,149.88425925925927,32591
"['artist', 'nationality']",UniversalHashFunction,No,1431985791,object subject,False,129.74537037037038,28241
"['artist', 'nationality']",IndipendentHashFunction,amin,1129427670,object subject,True,9274.305555555555,2003466
"['artist', 'nationality']",IndipendentHashFunction,amin,1149098401,object subject,True,10802.37962962963,2333530
"['artist', 'nationality']",IndipendentHashFunction,amin,1142462987,object subject,True,10191.587962962964,2201599
"['artist', 'nationality']",IndipendentHashFunction,amin,1145345162,object subject,True,11795.351851851852,2548012
"['artist', 'nationality']",IndipendentHashFunction,amin,1129638875,object subject,True,12082.11574074074,2609953
"['artist', 'nationality']",IndipendentHashFunction,median,1152760038,object subject,True,10787.12962962963,2330236
"['artist', 'nationality']",IndipendentHashFunction,median,1138470098,object subject,True,8414.560185185184,1817761
"['artist', 'nationality']",IndipendentHashFunction,median,1137420699,object subject,True,13108.648148148148,2831684
"['artist', 'nationality']",IndipendentHashFunction,median,1139762461,object subject,True,11380.902777777777,2458491
"['artist', 'nationality']",IndipendentHashFunction,median,1132346153,object subject,True,11309.319444444445,2443029
"['artist', 'nationality']",IndipendentHashFunction,No,1133721203,object subject,True,14192.194444444445,3065730
"['artist', 'nationality']",IndipendentHashFunction,No,1133675446,object subject,True,10933.25462962963,2361799
"['artist', 'nationality']",IndipendentHashFunction,No,1152361191,object subject,True,10439.657407407407,2255182
"['artist', 'nationality']",IndipendentHashFunction,No,1163424439,object subject,True,11895.708333333334,2569689
"['artist', 'nationality']",IndipendentHashFunction,No,1198064792,object subject,True,9606.439814814816,2075207
"['artist', 'nationality']",IndipendentHashFunction,amin,880726663,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,amin,887175619,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,amin,881495647,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,amin,864051801,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,amin,867264886,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,median,862613815,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,median,866021886,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,median,865188433,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,median,885511568,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,median,864976466,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,No,851448925,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,No,857971279,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,No,849763895,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,No,868074075,object subject,False,18153.333333333332,3921336
"['artist', 'nationality']",IndipendentHashFunction,No,866650716,object subject,False,18153.333333333332,3921336
